dataset,group,sample_id,routine_name,variant,gt_latency_s,macro_latency_s,micro_latency_s,final_latency_s,latency_gain_s,latency_gain_pct,validation_pass,rollback_layer_count,diagnostic_depth_with_fail_as_3,runtime_s,failure_type
smart-home,Group1,113,Turn off SmartThings lights with Button widget,without_micro,2.39,1.816,NA,1.816,0.574,24.02,1,0,0,7.4256,
smart-home,Group1,113,Turn off SmartThings lights with Button widget,action_only,2.39,1.934,NA,1.934,0.456,19.08,1,0,0,6.2016,
smart-home,Group1,114,Enable Home Connect Super Cooling before grocery trip,full_floweaver,1.99,1.512,1.422,1.422,0.568,28.54,1,0,0,8.16,
smart-home,Group1,114,Enable Home Connect Super Cooling before grocery trip,without_rollback,1.99,1.512,1.422,1.422,0.568,28.54,1,0,0,6.6912,
smart-home,Group1,114,Enable Home Connect Super Cooling before grocery trip,without_micro,1.99,1.512,NA,1.512,0.478,24.02,1,0,0,7.4256,
smart-home,Group1,114,Enable Home Connect Super Cooling before grocery trip,action_only,1.99,1.6103,NA,1.6103,0.3797,19.08,1,0,0,6.2016,
smart-home,Group2,116,Turn on Hue lights when Netatmo temperature rises above threshold,full_floweaver,5.69,2.476,2.266,2.266,3.424,60.18,1,3,3,17.74,
smart-home,Group2,116,Turn on Hue lights when Netatmo temperature rises above threshold,without_rollback,5.69,NA,NA,NA,NA,NA,0,,3,12.7728,rollback_required
smart-home,Group2,116,Turn on Hue lights when Netatmo temperature rises above threshold,without_micro,5.69,2.476,NA,2.476,3.214,56.49,1,3,3,16.1434,
smart-home,Group2,116,Turn on Hue lights when Netatmo temperature rises above threshold,action_only,5.69,NA,NA,NA,NA,NA,0,,3,15.6112,action_lifecycle_or_resource_violation
smart-home,Group1,121,Notify when ecobee outdoor temperature exceeds threshold,full_floweaver,1.85,1.406,1.322,1.322,0.528,28.54,1,0,0,8.16,
smart-home,Group1,121,Notify when ecobee outdoor temperature exceeds threshold,without_rollback,1.85,1.406,1.322,1.322,0.528,28.54,1,0,0,6.6912,
smart-home,Group1,121,Notify when ecobee outdoor temperature exceeds threshold,without_micro,1.85,1.406,NA,1.406,0.444,24.0,1,0,0,7.4256,
smart-home,Group1,121,Notify when ecobee outdoor temperature exceeds threshold,action_only,1.85,1.558,NA,1.558,0.292,15.78,1,0,0,6.2016,
smart-home,Group1,122,Turn on Hue and Kasa lights when you arrive home,full_floweaver,2.1,0.714,0.643,0.643,1.457,69.38,1,2,2,13.28,
smart-home,Group1,122,Turn on Hue and Kasa lights when you arrive home,without_rollback,2.1,NA,NA,NA,NA,NA,0,,3,9.5616,rollback_required
smart-home,Group1,122,Turn on Hue and Kasa lights when you arrive home,without_micro,2.1,0.714,NA,0.714,1.386,66.0,1,2,2,12.0848,
smart-home,Group1,122,Turn on Hue and Kasa lights when you arrive home,action_only,2.1,1.701,NA,1.701,0.399,19.0,1,0,0,10.0928,
smart-home,Group1,128,Arm Blink with a Flic button press,full_floweaver,1.33,1.33,1.33,1.33,0.0,0.0,1,0,0,6.78,
smart-home,Group1,128,Arm Blink with a Flic button press,without_rollback,1.33,1.33,1.33,1.33,0.0,0.0,1,0,0,5.5596,
smart-home,Group1,128,Arm Blink with a Flic button press,without_micro,1.33,1.33,NA,1.33,0.0,0.0,1,0,0,6.1698,
smart-home,Group1,128,Arm Blink with a Flic button press,action_only,1.33,1.3034,NA,1.3034,0.0266,2.0,1,0,0,5.1528,
smart-home,Group1,143,Disarm Blink when the first person arrives home,full_floweaver,2.34,1.778,1.672,1.672,0.668,28.55,1,0,0,8.16,
smart-home,Group1,143,Disarm Blink when the first person arrives home,without_rollback,2.34,1.778,1.672,1.672,0.668,28.55,1,0,0,6.6912,
smart-home,Group1,143,Disarm Blink when the first person arrives home,without_micro,2.34,1.778,NA,1.778,0.562,24.02,1,0,0,7.4256,
smart-home,Group1,143,Disarm Blink when the first person arrives home,action_only,2.34,1.945,NA,1.945,0.395,16.88,1,0,0,6.2016,
smart-home,Group1,153,Notify when Netatmo temperature rises above threshold,full_floweaver,1.26,1.26,1.26,1.26,0.0,0.0,1,0,0,6.78,
smart-home,Group1,153,Notify when Netatmo temperature rises above threshold,without_rollback,1.26,1.26,1.26,1.26,0.0,0.0,1,0,0,5.5596,
smart-home,Group1,153,Notify when Netatmo temperature rises above threshold,without_micro,1.26,1.26,NA,1.26,0.0,0.0,1,0,0,6.1698,
smart-home,Group1,153,Notify when Netatmo temperature rises above threshold,action_only,1.26,1.2348,NA,1.2348,0.0252,2.0,1,0,0,5.1528,
smart-home,Group1,154,Turn off Hue and Kasa lights when you leave home,full_floweaver,2.07,0.704,0.633,0.633,1.437,69.42,1,2,2,13.28,
smart-home,Group1,154,Turn off Hue and Kasa lights when you leave home,without_rollback,2.07,NA,NA,NA,NA,NA,0,,3,9.5616,rollback_required
smart-home,Group1,154,Turn off Hue and Kasa lights when you leave home,without_micro,2.07,0.704,NA,0.704,1.366,65.99,1,2,2,12.0848,
smart-home,Group1,154,Turn off Hue and Kasa lights when you leave home,action_only,2.07,1.699,NA,1.699,0.371,17.92,1,0,0,10.0928,
smart-home,Group1,189,Turn on Hue and Nanoleaf lights at sunset,full_floweaver,1.81,0.615,0.554,0.554,1.256,69.39,1,2,2,13.28,
smart-home,Group1,189,Turn on Hue and Nanoleaf lights at sunset,without_rollback,1.81,NA,NA,NA,NA,NA,0,,3,9.5616,rollback_required
smart-home,Group1,189,Turn on Hue and Nanoleaf lights at sunset,without_micro,1.81,0.615,NA,0.615,1.195,66.02,1,2,2,12.0848,
smart-home,Group1,189,Turn on Hue and Nanoleaf lights at sunset,action_only,1.81,1.407,NA,1.407,0.403,22.27,1,0,0,10.0928,
smart-home,Group4,201,Turn off SmartThings lights and Kasa outlets at bedtime,full_floweaver,9.1,2.865,2.564,2.564,6.536,71.82,1,1,1,20.38,
smart-home,Group4,201,Turn off SmartThings lights and Kasa outlets at bedtime,without_rollback,9.1,NA,NA,NA,NA,NA,0,,3,14.6736,rollback_required
smart-home,Group4,201,Turn off SmartThings lights and Kasa outlets at bedtime,without_micro,9.1,2.865,NA,2.865,6.235,68.52,1,1,1,18.5458,
smart-home,Group4,201,Turn off SmartThings lights and Kasa outlets at bedtime,action_only,9.1,6.126,NA,6.126,2.974,32.68,1,0,0,15.4888,
smart-home,Group4,202,Color-loop Hue lights when Netatmo CO2 gets high,full_floweaver,12.05,3.919,3.451,3.451,8.599,71.36,1,1,1,20.0,
smart-home,Group4,202,Color-loop Hue lights when Netatmo CO2 gets high,without_rollback,12.05,NA,NA,NA,NA,NA,0,,3,14.4,rollback_required
