case_id,target_file,case_name,action_count,ble_count,cloud_count,local_count,ha_count,native_latency_s,naive_topo_latency_s,latency_gain_s,latency_gain_pct,validation_pass,validation_failure_type,batch_count,max_batch_width,runtime_s,micro_not_applicable,validation_dir
vdev_party_preparation_01,data/targets/vdev_benchmarks/vdev_party_preparation_01.json,Party Preparation Routine,17,4,6,3,4,13.16,8.32,4.84,36.78,1,,8,4,0.0211,True,data/baselines/naive_topo_parallel/latest/validation/vdev_party_preparation_01
vdev_party_preparation_ambience_check_01,data/targets/vdev_benchmarks/vdev_party_preparation_ambience_check_01.json,Party Preparation and Ambience Check,18,4,6,4,4,13.28,8.32,4.96,37.35,1,,8,4,0.0245,True,data/baselines/naive_topo_parallel/latest/validation/vdev_party_preparation_ambience_check_01
vdev_party_preparation_full_sweep_01,data/targets/vdev_benchmarks/vdev_party_preparation_full_sweep_01.json,Party Preparation Full Sweep,22,4,6,8,4,13.76,8.44,5.32,38.66,1,,9,4,0.0287,True,data/baselines/naive_topo_parallel/latest/validation/vdev_party_preparation_full_sweep_01
vdev_party_scene_activation_01,data/targets/vdev_benchmarks/vdev_party_scene_activation_01.json,Party Scene Activation Routine,26,6,13,3,4,23.06,13.72,9.34,40.5,1,,12,4,0.0343,True,data/baselines/naive_topo_parallel/latest/validation/vdev_party_scene_activation_01
vdev_rain_coming_indoor_adjustment_01,data/targets/vdev_benchmarks/vdev_rain_coming_indoor_adjustment_01.json,Rain-Coming Indoor Adjustment,14,3,4,3,4,9.56,6.4,3.16,33.05,1,,6,4,0.0172,True,data/baselines/naive_topo_parallel/latest/validation/vdev_rain_coming_indoor_adjustment_01
vdev_rainy_commute_preparation_01,data/targets/vdev_benchmarks/vdev_rainy_commute_preparation_01.json,Rainy Commute Preparation,10,2,2,2,4,5.84,3.82,2.02,34.59,1,,5,4,0.013,True,data/baselines/naive_topo_parallel/latest/validation/vdev_rainy_commute_preparation_01
vdev_school_day_quiet_start_check_01,data/targets/vdev_benchmarks/vdev_school_day_quiet_start_check_01.json,School-Day Quiet Start Check,13,3,3,3,4,8.66,5.62,3.04,35.1,1,,6,4,0.0169,True,data/baselines/naive_topo_parallel/latest/validation/vdev_school_day_quiet_start_check_01
vdev_school_night_quiet_hours_01,data/targets/vdev_benchmarks/vdev_school_night_quiet_hours_01.json,School-Night Quiet Hours Routine,15,5,3,3,4,12.26,9.22,3.04,24.8,1,,8,4,0.0186,True,data/baselines/naive_topo_parallel/latest/validation/vdev_school_night_quiet_hours_01
vdev_security_presence_fabric_snapshot_01,data/targets/vdev_benchmarks/vdev_security_presence_fabric_snapshot_01.json,Security and Presence Fabric Snapshot,17,8,4,1,4,18.32,15.4,2.92,15.94,1,,11,4,0.0231,True,data/baselines/naive_topo_parallel/latest/validation/vdev_security_presence_fabric_snapshot_01
vdev_storm_lockdown_safety_01,data/targets/vdev_benchmarks/vdev_storm_lockdown_safety_01.json,Storm Lockdown Safety Routine,26,6,13,3,4,23.06,13.72,9.34,40.5,1,,12,4,0.0346,True,data/baselines/naive_topo_parallel/latest/validation/vdev_storm_lockdown_safety_01
